x_m,y_m,heading,theta_rad,kappa_1pm,v_mps,ld_m
-1.1556278,0.2745897,2.4965318,2.4965318,0.0067607,8.4999348,3.0
-1.3154399,0.3948387,2.4980062,2.4980062,0.0073649,8.4999677,3.0
-1.4754288,0.5148517,2.4996071,2.4996071,0.0080130,8.4999677,3.0
-1.6356093,0.6346082,2.5013244,2.5013244,0.0086016,8.4999677,3.0
-1.7959949,0.7540892,2.5031382,2.5031382,0.0090881,8.4999677,3.0
-1.9565967,0.8732789,2.5050198,2.5050198,0.0094336,8.4999677,2.5
-2.1174222,0.9921660,2.5069332,2.5069332,0.0095974,8.4999677,2.5
-2.2784748,1.1107451,2.5088336,2.5088336,0.0095353,8.4999677,2.5
-2.4397523,1.2290178,2.5106658,2.5106658,0.0092016,8.4999677,2.5
-2.6012462,1.3469948,2.5123666,2.5123666,0.0085510,8.4999677,2.5
-2.7629406,1.4646970,2.5138649,2.5138649,0.0075421,8.4999677,2.0
-2.9248113,1.5821569,2.5150835,2.5150835,0.0061421,8.4999677,2.0
-3.0868252,1.6994196,2.5159397,2.5159397,0.0043338,8.4999676,2.0
-3.2489398,1.8165438,2.5163557,2.5163557,0.0021264,8.4999677,2.0
-3.4111036,1.9336009,2.5162606,2.5162606,-0.0004374,8.4999677,1.5
-3.5732568,2.0506738,2.5156035,2.5156035,-0.0032658,8.4999678,1.5
-3.7353337,2.1678537,2.5143642,2.5143642,-0.0062067,8.4999679,1.5
-3.8972661,2.2852350,2.5125572,2.5125572,-0.0090683,8.4999680,1.5
-4.0589872,2.4029095,2.5102436,2.5102436,-0.0116382,8.4999681,1.5
-4.2204368,2.5209587,2.5075271,2.5075271,-0.0136960,8.4999680,1.5
-4.3815667,2.6394472,2.5045506,2.5045506,-0.0150241,8.4999678,1.5
-4.5423354,2.7584090,2.5014954,2.5014954,-0.0154516,8.4999675,1.5
-4.7027341,2.8778571,2.4985582,2.4985582,-0.0148010,8.4999671,1.5
-4.8627799,2.9977748,2.4959240,2.4959240,-0.0133891,8.4999668,1.5
-5.0225081,3.1181128,2.4938139,2.4938139,-0.0104202,8.4999669,1.5
