x_m,y_m,heading,theta_rad,kappa_1pm,v_mps,ld_m
-11.7710031,-14.7499748,-1.9405307,-1.9405307,0.1208645,8.3325496,1.249882
-11.8432634,-14.9364253,-1.9167590,-1.9167590,0.1187115,8.3116622,1.246749
-11.9110729,-15.1245447,-1.8930211,-1.8930211,0.1178267,8.2485608,1.237284
-11.9743993,-15.3142240,-1.8684515,-1.8684515,0.1229438,8.1862609,1.227939
-12.0330476,-15.5054047,-1.8429471,-1.8429471,0.1279816,8.1639297,1.224589
-12.0868025,-15.6980228,-1.8169586,-1.8169586,0.1299683,8.1460700,1.221910
-12.1355348,-15.8919761,-1.7906178,-1.7906178,0.1317623,8.1285455,1.219282
-12.1791424,-16.0871478,-1.7639493,-1.7639493,0.1333629,8.1110633,1.216659
-12.2175303,-16.2834136,-1.7369598,-1.7369598,0.1349736,8.0935561,1.214033
-12.2506075,-16.4806424,-1.7096405,-1.7096405,0.1366183,8.0759994,1.211400
-12.2782843,-16.6786969,-1.6819849,-1.6819849,0.1383083,8.0583959,1.208759
-12.3004730,-16.8774330,-1.6539897,-1.6539897,0.1400291,8.0407772,1.206117
-12.3170889,-17.0766983,-1.6256555,-1.6256555,0.1417488,8.0232019,1.203480
-12.3280516,-17.2763314,-1.5969988,-1.5969988,0.1434147,8.0057451,1.200862
-12.3332888,-17.4761602,-1.5680342,-1.5680342,0.1449506,7.9884826,1.198272
-12.3327362,-17.6762258,-1.5388065,-1.5388065,0.1461673,7.9714993,1.195725
-12.3263359,-17.8762307,-1.5094082,-1.5094082,0.1469738,7.9548414,1.193226
-12.3140592,-18.0759645,-1.4799650,-1.4799650,0.1471934,7.9385497,1.190782
-12.2959113,-18.2752125,-1.4506542,-1.4506542,0.1465859,7.9226589,1.188399
-12.2719445,-18.4737388,-1.4217212,-1.4217212,0.1448442,7.9072020,1.186080
-12.2422744,-18.6712901,-1.3934664,-1.3934664,0.1415814,7.8922136,1.183832
-12.2070240,-18.8679863,-1.3662464,-1.3662464,0.1362788,7.8777629,1.181664
-12.1663373,-19.0641128,-1.3405887,-1.3405887,0.1284850,7.8639456,1.179592
-12.1207408,-19.2586683,-1.3170525,-1.3170525,0.1179797,7.8507559,1.177613
-12.0705826,-19.4520801,-1.2960342,-1.2960342,0.1051923,7.8383189,1.175748
-12.0163081,-19.6446167,-1.2776644,-1.2776644,0.0921432,7.8267588,1.174014
-11.9586057,-19.8357939,-1.2608758,-1.2608758,0.0802147,7.8160635,1.172410
-11.8977368,-20.0258667,-1.2424584,-1.2424584,0.0929017,7.8063688,1.170955
-11.8331917,-20.2153325,-1.2221415,-1.2221415,0.0997882,7.7976401,1.169646
-11.7650653,-20.4027479,-1.1986271,-1.1986271,0.1180790,7.7900502,1.168508
-11.6922835,-20.5891954,-1.1721592,-1.1721592,0.1324733,7.7834625,1.167519
-11.6144821,-20.7739145,-1.1434969,-1.1434969,0.1435852,7.7779499,1.166692
-11.5318013,-20.9554883,-1.1132975,-1.1132975,0.1514547,7.7736897,1.166053
-11.4435473,-21.1347434,-1.0820277,-1.0820277,0.1565543,7.7705757,1.165586
-11.3496627,-21.3112821,-1.0501339,-1.0501339,0.1595257,7.7686486,1.165297
-11.2501662,-21.4847897,-1.0179554,-1.0179554,0.1608702,7.7679433,1.165191
-11.1451303,-21.6550204,-0.9857495,-0.9857495,0.1609762,7.7684899,1.165273
-11.0346674,-21.8217806,-0.9537072,-0.9537072,0.1601409,7.7703157,1.165547
-10.9189201,-21.9849144,-0.9219726,-0.9219726,0.1585923,7.7734468,1.166017
-10.7980548,-22.1442937,-0.8906549,-0.8906549,0.1565058,7.7779107,1.166687
-10.6722562,-22.2998127,-0.8598339,-0.8598339,0.1540164,7.7837372,1.167561
-10.5417222,-22.4513843,-0.8295732,-0.8295732,0.1512287,7.7909597,1.168644
-10.4066604,-22.5989388,-0.7999177,-0.7999177,0.1482241,7.7996155,1.169942
-10.2672838,-22.7424227,-0.7709000,-0.7709000,0.1450676,7.8097447,1.171462
-10.1238079,-22.8817975,-0.7425397,-0.7425397,0.1418123,7.8213886,1.173208
-9.9764475,-23.0170386,-0.7148517,-0.7148517,0.1385033,7.8345863,1.175188
-9.8254268,-23.1481246,-0.6878370,-0.6878370,0.1351549,7.8494310,1.177415
-9.6709346,-23.2750718,-0.6614841,-0.6614841,0.1317909,7.8660074,1.179901
-9.5131317,-23.3979191,-0.6357751,-0.6357751,0.1285371,7.8841857,1.182628
-9.3522104,-23.5166786,-0.6106896,-0.6106896,0.1253905,7.9039288,1.185589
-9.1883567,-23.6313673,-0.5861852,-0.5861852,0.1224908,7.9251748,1.188776
-9.0217399,-23.7420083,-0.5622556,-0.5622556,0.1196204,7.9478438,1.192177
-8.8525354,-23.8486234,-0.5389141,-0.5389141,0.1166939,7.9718541,1.195778
-8.6809252,-23.9512385,-0.5159702,-0.5159702,0.1146668,7.9971402,1.199571
-8.5070203,-24.0498814,-0.4931765,-0.4931765,0.1140317,8.0236723,1.203551
-8.3309017,-24.1445408,-0.4706078,-0.4706078,0.1129120,8.0514939,1.207724
-8.1526931,-24.2352010,-0.4483430,-0.4483430,0.1113823,8.0807878,1.212118
-7.9725111,-24.3218709,-0.4264484,-0.4264484,0.1095873,8.1119289,1.216789
-7.7904595,-24.4045823,-0.4050475,-0.4050475,0.1071506,8.1456280,1.221844
-7.6066551,-24.4833895,-0.3843141,-0.3843141,0.1038301,8.1830136,1.227452
-7.4212614,-24.5583671,-0.3644837,-0.3644837,0.0993180,8.2252561,1.233788
-7.2344213,-24.6296523,-0.3458465,-0.3458465,0.0933499,8.2738616,1.241079
-7.0462878,-24.6974422,-0.3287359,-0.3287359,0.0856502,8.3303217,1.249548
