x_m,y_m,heading,theta_rad,kappa_1pm,v_mps,ld_m
2.5163203,8.4035590,1.5877121,1.5877121,-0.0571774,5.7398961,2.0
2.5129462,8.6030048,1.5670477,1.5670477,-0.1037694,5.5205300,2.0
2.5136951,8.8027850,1.5375817,1.5375817,-0.1475594,5.3313811,1.6
2.5203339,9.0025872,1.5002513,1.5002513,-0.1866581,5.1656094,0.6
2.5344211,9.2019467,1.4560964,1.4560964,-0.2212632,5.0166407,0.6
2.5572648,9.4002331,1.4055917,1.4055917,-0.2532377,4.8777348,0.6
2.5901395,9.5974133,1.3483223,1.3483223,-0.2860446,4.7386954,0.6
2.6342959,9.7926068,1.2832878,1.2832878,-0.3241615,4.5924375,0.6
2.6910379,9.9844963,1.2092221,1.2092221,-0.3686173,4.4347386,0.6
2.7617999,10.1715978,1.1244805,1.1244805,-0.4211660,4.2599761,0.9
2.8481310,10.3520108,1.0271869,1.0271869,-0.4832291,4.0602651,0.9
2.9517096,10.5234002,0.9144122,0.9144122,-0.5557897,3.8239012,0.9
3.0741388,10.6823316,0.7779037,0.7779037,-0.6773075,3.5324289,0.6
3.2148395,10.8209390,0.6311076,0.6311076,-0.7523065,3.1549727,0.9
3.3756928,10.9384926,0.5353558,0.5353558,-0.6598545,2.6060560,2.0
3.5469286,11.0400584,0.7072384,0.7072384,1.4819115,2.0369641,2.0
3.6965750,11.1679669,0.6873860,0.6873860,-0.2142132,1.7435639,2.0
3.8481094,11.2923692,0.5089208,0.5089208,-0.9463728,1.6993588,2.0
4.0247021,11.3908978,0.3256823,0.3256823,-0.9115329,1.7197286,2.0
4.2147878,11.4550912,0.1439836,0.1439836,-0.9051270,1.7765798,2.0
4.4129133,11.4838168,-0.0322501,-0.0322501,-0.8778379,1.8796842,2.0
4.6125428,11.4773765,-0.1927238,-0.1927238,-0.8018554,2.0265796,2.0
4.8083630,11.4391630,-0.3323310,-0.3323310,-0.6976735,2.2591597,2.0
4.9971111,11.3740201,-0.4549885,-0.4549885,-0.6115377,2.5622080,2.0
5.1766143,11.2862031,-0.5656774,-0.5656774,-0.5526938,2.8565163,2.0
5.3452048,11.1791672,-0.6669960,-0.6669960,-0.5072721,3.1012659,2.0
5.5018924,11.0557951,-0.7604443,-0.7604443,-0.4672789,3.3093895,2.0
5.6464621,10.9182663,-0.8479902,-0.8479902,-0.4381451,3.4939847,2.0
5.7785911,10.7684678,-0.9310015,-0.9310015,-0.4143776,3.6592043,2.0
5.8980011,10.6080190,-1.0098946,-1.0098946,-0.3954669,3.8082681,2.0
6.0042472,10.4388929,-1.0842510,-1.0842510,-0.3723241,3.9422756,2.0
6.0977551,10.2621156,-1.1545330,-1.1545330,-0.3514198,4.0631587,2.0
6.1785304,10.0794066,-1.2202457,-1.2202457,-0.3293990,4.1766987,2.0
6.2470744,9.8919500,-1.2800384,-1.2800384,-0.2999667,4.2868932,2.0
6.3042781,9.7007857,-1.3327242,-1.3327242,-0.2641673,4.3979499,2.0
6.3513435,9.5068410,-1.3779841,-1.3779841,-0.2264286,4.5134839,2.0
6.3896430,9.3106724,-1.4157383,-1.4157383,-0.1887760,4.6365551,2.0
6.4204964,9.1132900,-1.4461748,-1.4461748,-0.1523524,4.7663345,2.0
6.4453234,8.9151032,-1.4697987,-1.4697987,-0.1182794,4.9025795,2.0
6.4654574,8.7164303,-1.4870838,-1.4870838,-0.0866311,5.0448469,2.0
6.4821363,8.5176557,-1.4982279,-1.4982279,-0.0558566,5.1925148,2.0
6.4966077,8.3185885,-1.5042241,-1.5042241,-0.0269084,5.3446427,2.0
6.5098911,8.1193497,-1.5081091,-1.5081091,-0.0193705,5.4993229,2.0
6.5223930,7.9201779,-1.5106536,-1.5106536,-0.0126627,5.6545809,2.0
6.5343977,7.7208150,-1.5120730,-1.5120730,-0.0069635,5.8094356,2.0
6.5461221,7.5213895,-1.5129310,-1.5129310,-0.0041896,5.9628064,2.0
6.5576790,7.3218919,-1.5139046,-1.5139046,-0.0047154,6.1137274,2.0
6.5690407,7.1224000,-1.5154837,-1.5154837,-0.0075655,6.2613874,2.0
6.5800823,6.9229819,-1.5181253,-1.5181253,-0.0129580,6.4043815,2.0
6.5905978,6.7235218,-1.5222247,-1.5222247,-0.0204142,6.5417503,2.0
6.6002975,6.5239801,-1.5281456,-1.5281456,-0.0295835,6.6732524,2.0
6.6088152,6.3243930,-1.5362325,-1.5362325,-0.0404011,6.7979597,2.0
6.6157168,6.1247953,-1.5468050,-1.5468050,-0.0528084,6.9147938,2.0
6.6205057,5.9252243,-1.5601672,-1.5601672,-0.0667429,7.0225033,2.0
6.6226298,5.7253939,-1.5765600,-1.5765600,-0.0819921,7.1164715,2.0
6.6214780,5.5255591,-1.5961108,-1.5961108,-0.0978080,7.1980398,0.9
6.6164207,5.3258226,-1.6188195,-1.6188195,-0.1136051,7.2667882,0.9
6.6068322,5.1263120,-1.6445503,-1.6445503,-0.1288082,7.3228024,0.9
6.5921196,4.9271916,-1.6730590,-1.6730590,-0.1429281,7.3667212,0.9
6.5717466,4.7286643,-1.7040580,-1.7040580,-0.1556581,7.3996722,0.9
6.5452235,4.5308136,-1.7372706,-1.7372706,-0.1667283,7.4227196,0.9
6.5120935,4.3336457,-1.7723786,-1.7723786,-0.1758921,7.4372808,0.9
6.4720682,4.1377868,-1.8090130,-1.8090130,-0.1834387,7.4454432,1.6
6.4249033,3.9435546,-1.8467549,-1.8467549,-0.1889649,7.4480912,1.6
6.3704531,3.7512759,-1.8850121,-1.8850121,-0.1916791,7.4459591,1.6
6.3087069,3.5612772,-1.9228879,-1.9228879,-0.1898170,7.4396387,1.6
6.2398518,3.3738657,-1.9594266,-1.9594266,-0.1838192,7.4295901,0.9
6.1643143,3.1893825,-1.9926038,-1.9926038,-0.1689032,7.4161487,0.9
6.0826105,3.0073096,-2.0187418,-2.0187418,-0.1293423,7.3993965,0.9
5.9959312,2.8269245,-2.0370516,-2.0370516,-0.0921991,7.3794861,0.9
5.9062602,2.6487456,-2.0477469,-2.0477469,-0.0528168,7.3572006,0.9
5.8147744,2.4717018,-2.0535993,-2.0535993,-0.0264456,7.3339460,0.9
5.7221399,2.2949787,-2.0594319,-2.0594319,-0.0276986,7.3113184,0.9
5.6284001,2.1186557,-2.0699306,-2.0699306,-0.0512420,7.2897707,0.9
