x_m,y_m,heading,theta_rad,kappa_1pm,v_mps,ld_m
-16.8976187,28.1163725,2.4568935,2.4568935,0.0025142,8.4999358,2.0
-17.0525167,28.2428410,2.4573894,2.4573894,0.0025824,8.4999677,2.0
-17.2074779,28.3692331,2.4577920,2.4577920,0.0020204,8.4999681,2.0
-17.3624896,28.4955625,2.4580762,2.4580762,0.0014087,8.4999681,2.0
-17.5175374,28.6218480,2.4582525,2.4582525,0.0008721,8.4999681,2.0
-17.6726075,28.7481062,2.4583356,2.4583356,0.0004063,8.4999680,2.0
-17.8276882,28.8743516,2.4583380,2.4583380,0.0000062,8.4999680,2.0
-17.9827693,29.0005967,2.4582728,2.4582728,-0.0003345,8.4999680,2.0
-18.1378424,29.1268521,2.4581490,2.4581490,-0.0006219,8.4999680,2.0
-18.2929000,29.2531268,2.4579780,2.4579780,-0.0008621,8.4999679,2.0
-18.4479361,29.3794281,2.4577660,2.4577660,-0.0010610,8.4999679,1.0
-18.6029456,29.5057624,2.4575224,2.4575224,-0.0012241,8.4999679,1.5
-18.7579245,29.6321346,2.4572512,2.4572512,-0.0013564,8.4999679,1.5
-18.9128692,29.7585489,2.4569593,2.4569593,-0.0014623,8.4999679,1.5
-19.0677772,29.8850086,2.4566507,2.4566507,-0.0015457,8.4999678,1.5
-19.2226463,30.0115162,2.4563290,2.4563290,-0.0016096,8.4999678,1.5
-19.3774748,30.1380737,2.4559978,2.4559978,-0.0016563,8.4999678,1.5
-19.5322614,30.2646825,2.4556611,2.4556611,-0.0016873,8.4999678,2.0
-19.6870055,30.3913435,2.4553203,2.4553203,-0.0017032,8.4999677,2.0
-19.8417065,30.5180573,2.4549799,2.4549799,-0.0017035,8.4999677,2.0
-19.9963644,30.6448238,2.4546426,2.4546426,-0.0016872,8.4999677,1.5
-20.1509796,30.7716425,2.4543125,2.4543125,-0.0016521,8.4999676,1.5
-20.3055529,30.8985122,2.4539942,2.4539942,-0.0015949,8.4999676,1.5
-20.4600858,31.0254311,2.4536922,2.4536922,-0.0015117,8.4999676,1.5
-20.6145804,31.1523967,2.4534126,2.4534126,-0.0013975,8.4999675,1.5
-20.7690394,31.2794054,2.4531643,2.4531643,-0.0012463,8.4999675,1.5
-20.9234668,31.4064524,2.4529544,2.4529544,-0.0010513,8.4999675,1.5
-21.0778675,31.5335318,2.4527942,2.4527942,-0.0008050,8.4999674,1.5
-21.2322478,31.6606359,2.4526951,2.4526951,-0.0004991,8.4999674,1.5
-21.3866154,31.7877552,2.4526707,2.4526707,-0.0001247,8.4999674,1.5
-21.5409798,31.9148782,2.4527372,2.4527372,0.0003276,8.4999673,1.5
-21.6953525,32.0419908,2.4529113,2.4529113,0.0008672,8.4999673,1.5
-21.8497473,32.1690765,2.4532133,2.4532133,0.0015039,8.4999673,1.5
-22.0041804,32.2961155,2.4536639,2.4536639,0.0022467,8.4999672,1.5
-22.1586706,32.4230848,2.4542858,2.4542858,0.0031043,8.4999672,1.5
-22.3132396,32.5499579,2.4551034,2.4551034,0.0040841,8.4999672,1.5
-22.4679122,32.6767045,2.4561430,2.4561430,0.0051920,8.4999671,1.5
-22.6227163,32.8032901,2.4574310,2.4574310,0.0064317,8.4999671,1.5
-22.7776832,32.9296761,2.4589926,2.4589926,0.0078042,8.4999671,1.5
-22.9328472,33.0558199,2.4608550,2.4608550,0.0093074,8.4999670,1.5
