x_m,y_m,heading,theta_rad,kappa_1pm,v_mps
-30.3199390,-8.8037397,-2.9849283,-2.9849283,-0.1045199,8.1058741
-30.5174158,-8.8349329,-3.0076215,-3.0076215,-0.1135466,8.0210089
-30.7155521,-8.8616374,-3.0320107,-3.0320107,-0.1221752,7.9420065
-30.9142974,-8.8835039,-3.0579833,-3.0579833,-0.1296717,7.8689573
-31.1135547,-8.9002026,-3.0857388,-3.0857388,-0.1389856,7.8100260
-31.3132147,-8.9113660,-3.1150891,-3.1150891,-0.1470088,7.7858225
-31.5131334,-8.9166658,3.1376907,3.1376907,-0.1519986,7.7688451
-31.7131372,-8.9158854,3.1064354,3.1064354,-0.1562280,7.7514390
-31.9130308,-8.9088548,3.0743707,3.0743707,-0.1602406,7.7337410
-32.1126047,-8.8954188,3.0415653,3.0415653,-0.1639200,7.7158520
-32.3116356,-8.8754436,3.0081100,3.0081100,-0.1671644,7.6978560
-32.5098905,-8.8488217,2.9741432,2.9741432,-0.1697207,7.6798370
-32.7071303,-8.8154818,2.9398734,2.9398734,-0.1712571,7.6618862
-32.9031161,-8.7754026,2.9056011,2.9056011,-0.1713061,7.6441045
-33.0976141,-8.7286312,2.8717611,2.8717611,-0.1692259,7.6266026
-33.2904014,-8.6753107,2.8389690,2.8389690,-0.1641340,7.6095003
-33.4812709,-8.6157187,2.8080894,2.8080894,-0.1548429,7.5929276
-33.6700461,-8.5503187,2.7802831,2.7802831,-0.1398422,7.5770245
-33.8566210,-8.4798123,2.7569032,2.7569032,-0.1175021,7.5619383
-34.0423756,-8.4046076,2.7394183,2.7394183,-0.0877783,7.5479763
-34.2264116,-8.3263263,2.7285595,2.7285595,-0.0541895,7.5351594
-34.4091152,-8.2462579,2.7228758,2.7228758,-0.0258028,7.5235227
-34.5915748,-8.1650571,2.7179693,2.7179693,-0.0223859,7.5133501
-34.7735818,-8.0829855,2.7078580,2.7078580,-0.0501884,7.5045838
-34.9552568,-7.9988429,2.6883469,2.6883469,-0.0910442,7.4973020
-35.1340713,-7.9117487,2.6569058,2.6569058,-0.1612840,7.4917259
-35.3106829,-7.8187481,2.6200495,2.6200495,-0.1853297,7.4876081
-35.4841817,-7.7190535,2.5816839,2.5816839,-0.1916912,7.4848682
-35.6537929,-7.6127374,2.5427549,2.5427549,-0.1944051,7.4833871
-35.8191606,-7.4998852,2.5044322,2.5044322,-0.1912208,7.4830395
-35.9801039,-7.3807647,2.4673677,2.4673677,-0.1849751,7.4837090
