x_m,y_m,heading,theta_rad,kappa_1pm,v_mps
7.6125247,2.4898900,-0.3115155,-0.3115155,-0.0012683,8.4936970
7.8028695,2.4285991,-0.3118217,-0.3118217,-0.0015657,8.4966557
7.9931956,2.3672499,-0.3121538,-0.3121538,-0.0016611,8.4967224
8.1835013,2.3058375,-0.3125028,-0.3125028,-0.0017456,8.4967224
8.3737855,2.2443587,-0.3128680,-0.3128680,-0.0018273,8.4967217
8.5640473,2.1828104,-0.3132497,-0.3132497,-0.0019083,8.4967210
8.7542855,2.1211895,-0.3136467,-0.3136467,-0.0019860,8.4967202
8.9444992,2.0594931,-0.3140578,-0.3140578,-0.0020585,8.4967194
9.1346875,1.9977185,-0.3144821,-0.3144821,-0.0021232,8.4967185
9.3248496,1.9358632,-0.3149170,-0.3149170,-0.0021770,8.4967175
9.5149848,1.8739252,-0.3153595,-0.3153595,-0.0022164,8.4967165
9.7050925,1.8119031,-0.3158063,-0.3158063,-0.0022370,8.4967154
9.8951724,1.7497961,-0.3162522,-0.3162522,-0.0022344,8.4967143
10.0852247,1.6876043,-0.3166922,-0.3166922,-0.0022035,8.4967132
10.2752496,1.6253289,-0.3171179,-0.3171179,-0.0021387,8.4967120
10.4652480,1.5629726,-0.3175237,-0.3175237,-0.0020342,8.4967107
10.6552211,1.5005392,-0.3178985,-0.3178985,-0.0018840,8.4967094
10.8451708,1.4380346,-0.3182331,-0.3182331,-0.0016818,8.4967080
11.0350997,1.3754664,-0.3185150,-0.3185150,-0.0014215,8.4967067
11.2250111,1.3128446,-0.3187325,-0.3187325,-0.0010970,8.4967052
11.4149089,1.2501815,-0.3188701,-0.3188701,-0.0007029,8.4967038
11.6047980,1.1874923,-0.3189147,-0.3189147,-0.0002341,8.4967024
11.7946835,1.1247949,-0.3188490,-0.3188490,0.0003133,8.4967010
11.9845730,1.0621100,-0.3186580,-0.3186580,0.0009412,8.4966997
12.1744741,0.9994615,-0.3183256,-0.3183256,0.0016502,8.4966985
12.3643958,0.9368762,-0.3178360,-0.3178360,0.0024384,8.4966974
12.5543478,0.8743840,-0.3171733,-0.3171733,0.0033012,8.4966966
12.7443408,0.8120178,-0.3163254,-0.3163254,0.0042309,8.4966959
12.9343861,0.7498129,-0.3152814,-0.3152814,0.0052163,8.4966955
